8 13
1 -1.00000000000000e+00 -1.00000000000000e+00 0.00000000000000e+00
2 -1.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00
3 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00
4 0.00000000000000e+00 -1.00000000000000e+00 0.00000000000000e+00
5 -1.00000000000000e+00 1.00000000000000e+00 0.00000000000000e+00
6 0.00000000000000e+00 1.00000000000000e+00 0.00000000000000e+00
7 1.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00
8 1.00000000000000e+00 -1.00000000000000e+00 0.00000000000000e+00
1 102 1 2 
2 102 2 3 
3 102 4 3 
4 102 1 4 
5 102 2 5 
6 102 5 6 
7 102 3 6 
8 102 3 7 
9 102 8 7 
10 102 4 8 
11 204 2 1 4 3 
12 204 5 2 3 6 
13 204 3 4 8 7 
